edge_id,input_artifact_id,output_artifact_id,transformation_id,code_path,join_keys,join_type,filter_expression,outcome_redefinition,verification_status,notes
edge-0020,data-v3-analysis-ready,mechanism-v5drymed-ready-dta,v5-drought-mediator-base,repo://scripts/stata/v5drymed_step0_preamble.do,grid_id|year,one-to-one,keep master and matched,unchanged,two-source-supported,"The output exists; additional inputs include v3sub, V3 expanded main and an unavailable April state-panel snapshot."
edge-0021,analysis-v3sub-ready-dta,mechanism-v5drymed-ready-dta,v5-region-tag-merge,repo://scripts/stata/v5drymed_step0_preamble.do,grid_id|year,one-to-one,keep maize_zone and irr_group,unchanged,three-source-confirmed,"Supplies region and irrigation-group tags."
edge-0022,mechanism-sm-state-wide-april-missing,mechanism-v5drymed-ready-dta,v5-state-mediator-merge,repo://scripts/stata/v5drymed_step0_preamble.do,grid_id|year,one-to-one,keep dry-state mediator fields,unchanged,missing-snapshot,"The same-named current state panel cannot be substituted for the missing April input snapshot."
edge-0023,data-v3-expanded-phenowindows-dta,mechanism-sm-state-wide-current,v4-state-variable-build,repo://scripts/python/v4smstate_build_statevars.py,grid_id|year,derived-wide-panel,none,unchanged,two-source-supported,"Represents the current 2026-05-18 physical state panel only; it does not prove the April snapshot."
edge-0024,ggcp10-raw-harvarea-raster-series,ggcp10-point-base,ggcp10-point-sample,repo://scripts/python/ggcp10_build_harvarea_branch.py,year|latitude|longitude,raster-point-sample,2016-2019,"yield_tons_ha=(maize_prod/ggcp10_maize_area_km2)*10; ln_yield=ln(yield_tons_ha)",three-source-confirmed,"V1 yield is preserved only as orig_yield_tons_ha; the active outcome is redefined."
edge-0025,data-v3-analysis-ready,ggcp10-point-base,ggcp10-point-base-merge,repo://scripts/python/ggcp10_build_harvarea_branch.py,grid_id|year,one-to-one-left,retain all 69038 base rows,"yield_tons_ha=(maize_prod/ggcp10_maize_area_km2)*10",three-source-confirmed,"Supplies the V3 analysis variables to the point-sampled branch."
edge-0026,data-v1-county-city,ggcp10-point-base,ggcp10-point-production-merge,repo://scripts/python/ggcp10_build_harvarea_branch.py,year|latitude|longitude,one-to-one-left,maize_prod must match,"yield_tons_ha=(maize_prod/ggcp10_maize_area_km2)*10",three-source-confirmed,"Supplies maize_prod for the redefined outcome."
edge-0027,ggcp10-point-base,ggcp10-point-v6-base,ggcp10-point-v6-gleam,repo://scripts/stata/v6gleambl_harvarea_run_all.do,grid_id|year,one-to-one,retain base rows,unchanged,three-source-confirmed,"Adds V6 GLEAM baseline-local mediator families; auxiliary sidecars remain local."
edge-0028,ggcp10-raw-harvarea-raster-series,ggcp10-aggregated-sidecar,ggcp10-area-preserving-aggregate,repo://scripts/python/ggcp10_build_harvarea_agg_branch.py,year|latitude|longitude,raster-overlap-weighted-aggregate,2016-2019,none,three-source-confirmed,"Aggregates native 1/12-degree harvested area to the panel 0.1-degree cells using overlap weights."
edge-0029,ggcp10-aggregated-sidecar,ggcp10-aggregated-base,ggcp10-aggregated-area-merge,repo://scripts/python/ggcp10_build_harvarea_agg_branch.py,grid_id|year,one-to-one-left,retain all 69038 base rows,"yield_tons_ha=(maize_prod/ggcp10_maize_area_km2)*10; ln_yield=ln(yield_tons_ha)",three-source-confirmed,"The aggregated denominator replaces the original V1 area denominator."
edge-0030,data-v3-analysis-ready,ggcp10-aggregated-base,ggcp10-aggregated-base-merge,repo://scripts/python/ggcp10_build_harvarea_agg_branch.py,grid_id|year,one-to-one-left,retain all base rows,"yield_tons_ha=(maize_prod/ggcp10_maize_area_km2)*10",three-source-confirmed,"Supplies V3 analysis variables."
edge-0031,data-v1-county-city,ggcp10-aggregated-base,ggcp10-aggregated-production-merge,repo://scripts/python/ggcp10_build_harvarea_agg_branch.py,year|latitude|longitude,one-to-one-left,maize_prod must match,"yield_tons_ha=(maize_prod/ggcp10_maize_area_km2)*10",three-source-confirmed,"Supplies maize_prod; outcome is recomputed and is not a format alias of V1 yield."
edge-0032,ggcp10-aggregated-base,ggcp10-baseline-suite,ggcp10-baseline-suite-build,repo://scripts/stata/ggcp10_baseline_suite_run_all.do,grid_id|year,one-to-one,retain all base rows,unchanged,three-source-confirmed,"Adds the baseline-suite GLEAM variables used by later GGCP10 and G185 work."
edge-0033,ggcp10-baseline-suite,g185-virtual-sample,g185-base-filter,repo://scripts/python/expanded_scale_story_search.py,grid_id|year,virtual-row-filter,"ggcp10_maize_frac>=0.05 and main_sample=1 and yield_domain=1 and yield_jump=1 and sm_sd=1",unchanged,three-source-confirmed,"Activated rule vector and exact counts are frozen in sample_rules.csv."
edge-0034,data-v3-expanded-main-dta,g185-virtual-sample,g185-hotdry-merge,repo://scripts/python/ggcp10_parallel_rules_69038_search.py,grid_id|year,one-to-one-left,"same G185 mask after merge",unchanged,three-source-confirmed,"Supplies precipitation-based hotdrydays_ge32_pr_lt1 as HotDryPr_full; this is distinct from SM-threshold hot-dry."
edge-0035,ggcp10-baseline-suite,g057-virtual-sample,g057-base-filter,repo://scripts/python/expanded_scale_story_search.py,grid_id|year,virtual-row-filter,"ggcp10_maize_frac>=0.05 and yield_domain=1 and yield_jump=1 and sm_sd=1",unchanged,three-source-confirmed,"Raw rule-mask support is 50,771 rows and 15,729 grids; model complete-case counts are separate."
edge-0036,ggcp10-baseline-suite,g049-virtual-sample,g049-base-filter,repo://scripts/python/expanded_scale_story_search.py,grid_id|year,virtual-row-filter,"ggcp10_maize_frac>=0.05 and yield_domain=1 and yield_jump=1",unchanged,three-source-confirmed,"Raw rule-mask support is 50,844 rows and 15,737 grids; G049 disables the G057 sm_sd filter."
edge-0037,ggcp10-baseline-suite,g195-b067-virtual-sample,g195-b067-equivalent-filter,repo://scripts/python/expanded_scale_story_search.py,grid_id|year,virtual-row-filter,"ggcp10_maize_frac>=0.05 and main_sample=1 and zone_core=1 and sr_within=1",unchanged,three-source-confirmed,"Current code and live-panel recomputation establish B067/G195 mask equality; the original B067 formation date is not inferred."
"edge-0038","data-v3-expanded-main-dta","regional-threshold-grid-v1","regional-threshold-grid-coordinate-base","repo://scripts/python/audit_regional_threshold_coverage.py","grid_id|latitude|longitude","one-to-one-grid-projection","retain one coordinate record per V3 grid","not_applicable","three-source-confirmed","Supplies the 22,180 unique V3 grid centers; row-level output remains local and ignored by Git."
"edge-0039","regional-threshold-maize-raster","regional-threshold-grid-v1","regional-threshold-containing-cell-map","repo://scripts/python/audit_regional_threshold_coverage.py","latitude|longitude","center-in-pixel-spatial-lookup","no interpolation, extrapolation or NoData filling","not_applicable","three-source-confirmed","Maps each 0.1-degree grid center to its containing official 0.5-degree PixelIsArea cell and retains explicit coverage reasons."
"edge-0040","data-v3-expanded-main-dta","compound-event-smoke-panel-v2","compound-event-smoke-sample-and-window","repo://scripts/python/run_hotdry_event_stage1.py","grid_id|year","deterministic-sample-and-left-attach","first two eligible grid-year rows per named zone-year; interface only","unchanged","three-source-confirmed","Supplies outcome-independent identifiers, coordinates, zones and v3_doy-30 through ma_doy windows; no yield model is run."
"edge-0041","compound-event-tmax-aligned-series","compound-event-smoke-panel-v2","compound-event-tmax-index","repo://scripts/python/run_hotdry_event_stage1.py","year|latitude|longitude|date","point-index-on-aligned-grid","Tmax>=32C candidate days within the frozen window","not_applicable","three-source-confirmed","Point and bulk index equivalence was tested, but the test-file identity omission triggered the Round 2 STOP."
"edge-0042","compound-event-precip-aligned-series","compound-event-smoke-panel-v2","compound-event-precip-index","repo://scripts/python/run_hotdry_event_stage1.py","year|latitude|longitude|date","point-index-on-aligned-grid","precipitation<1 mm/day candidate days within the frozen window","not_applicable","three-source-confirmed","Daily precipitation is aligned to the temperature grid; raw CHM coordinates are not used."
"edge-0043","compound-event-smrz-aligned-series","compound-event-smoke-panel-v2","compound-event-smrz-channel-index","repo://scripts/python/run_hotdry_event_stage1.py","year|latitude|longitude|date","point-index-on-aligned-grid","onset-14 through onset-1 antecedent and event-to-censor recovery windows","not_applicable","three-source-confirmed","Builds interface-only antecedent, drawdown and recovery or censoring fields; no IPCW/RMST analysis was run."
