"alias","alias_scope","canonical_id","meaning","collision_group","notes"
"v3_analysis_ready.dta","data/processed","analysis-v3","Corrected V3 systematic analysis-ready panel","","Physical artifact is registered separately"
"data_v3_phenowindows","data_build/data/processed","data-v3-phenowindows","Full V3 phenology-window physical view","data-v3-physical-view","CSV, Parquet and DTA are serialization variants"
"data_v3_main","data_build/data/processed","data-v3-main","V3 main physical view with yield fields","data-v3-physical-view","CSV, Parquet and DTA are serialization variants"
"data_v3_noyield","data_build/data/processed","data-v3-no-yield","V3 no-yield physical view","data-v3-physical-view","Parquet view for non-outcome reuse"
"v3prhd","V3 module names","analysis-v3prhd","Precipitation-defined hot-dry yield module","v3-module","HotDryPr uses temperature and precipitation"
"v3prhdsm","V3 module names","analysis-v3prhdsm","Precipitation-defined hot-dry soil-moisture outcome module","v3-module","Six SM source-depth outcomes"
"v3decomp","V3 module names","analysis-v3decomp","Fixed-effect two-equation decomposition module","v3-module","Algebraic components rather than causal mediation"
"v3sub","V3 module names","analysis-v3sub","Irrigation and maize-region sample-boundary module","v3-module","Subsample reruns do not redefine all main_sample variables"
"v3med","V3 module names","analysis-v3med-model8","Moderated two-equation Model 8 module","v3-module","Historical mediation wording is superseded"
"v3med-model8","V3 module names","analysis-v3med-model8","Drought and heat Model 8 specifications","v3-module","Six SM measures and conditional SR levels"
"v3proxy","V3 module names","analysis-v3proxy","Drought-proxy competition audit","v3-module","Diagnostic analysis component"
"v3bpath","V3 module names","analysis-v3bpath","Timing, controls and source-depth b-path audit","v3-module","Constrains interpretation"
"v4","complete-report sequence","report-v4","Compound-stress report revision","bare-v-number","Not mechanism-v4smstate"
"v4","mechanism sequence","mechanism-v4smstate","SM-state experiment family","bare-v-number","Not report-v4"
"complete_report_v4.Rmd","output/reports","report-v4","Source R Markdown for report-v4","","Local historical report"
"v5","complete-report sequence","report-v5","Locked-sample report revision","bare-v-number","Not mechanism-v5drymed or a PDF layout suffix"
"v5","mechanism sequence","mechanism-v5drymed","Drought-only dry-mediator experiment","bare-v-number","Not report-v5"
v3prhdsm_beamer_report_spec234_v5.pdf,layout-only filename,analysis-v3prhdsm,Fifth manual layout revision of the v3prhdsm report,layout-v5-suffix,The filename suffix v5 is not report-v5 or mechanism-v5drymed
"complete_report_v5.Rmd","output/reports","report-v5","Source R Markdown for report-v5","","Local historical report"
"v5drymed","mechanism module names","mechanism-v5drymed","Drought-only drydays, dryshare and drydeficit experiment","",""
"v6","complete-report sequence","report-v6.1","Source filename complete_report_v6.Rmd displayed as report-v6.1","bare-v-number","Not mechanism-v6gleambl"
"v6.1","complete-report sequence","report-v6.1","Latest historical complete-report label","bare-v-number","Display label differs from source filename"
"v6","mechanism sequence","mechanism-v6gleambl","GLEAM baseline-local experiment","bare-v-number","Not report-v6.1"
"complete_report_v6.Rmd","output/reports","report-v6.1","Source R Markdown for report-v6.1","","Local historical report"
"v6gleambl","mechanism module names","mechanism-v6gleambl","Four-window GLEAM baseline-local family","","Historical GGCP10 precursor"
"GGCP10 harvested-area branch","area workstream","area-ggcp10-harvarea","Container for point and aggregated area constructions","ggcp10-area-method","Do not treat the two physical constructions as identical"
"GGCP10 point sample","area workstream","area-ggcp10-point-sample","Native-raster value sampled at panel coordinates","ggcp10-area-method","Historical comparator"
"GGCP10 aggregated","area workstream","area-ggcp10-aggregated","Area-preserving aggregation to the 0.1-degree panel","ggcp10-area-method","Current GGCP10 area base"
"GGCP10 baseline suite","analysis workstream","analysis-ggcp10-baseline-suite","Paired mediator and yield baseline equations","","Input foundation for later scale work"
"SM mean","GGCP10 extension branches","ggcp10-mediation-ext","GLEAM soil-moisture mean extension","ggcp10-extension","One of three extension branches"
"wet mirror","GGCP10 extension branches","ggcp10-mediation-ext","Wet-state mirror extension","ggcp10-extension","One of three extension branches"
"dry top3","GGCP10 extension branches","ggcp10-mediation-ext","Top-three dry-state extension","ggcp10-extension","One of three extension branches"
"G057","Gxxx sample rules","scale-g057","Region-first search rank-one reference rule","gxxx-scale","Not a data or software version"
"G185","Gxxx sample rules","scale-g185","Current frozen sample rule with 46299 rows and 13236 grids","gxxx-scale","G185 results must use only this sample"
"G049","Gxxx sample rules","scale-g049","Near-twin selection reference rule","gxxx-scale","Do not mix estimates into G185 claims"
"B067","legacy and expanded scale mappings","scale-b067-g195","Legacy national scale label","legacy-scale-map","Mapped to G195 in the expanded rule enumeration"
"G195","legacy and expanded scale mappings","scale-b067-g195","Expanded-enumeration alias for legacy B067","legacy-scale-map","Mapping is historical context"
"G185 draft","G185 workstream","g185-draft-bootstrap-v1","Initial G185 bootstrap and manuscript asset pack","g185-method-line","Interpretation superseded"
"method upgrade","G185 workstream","g185-method-upgrade","Fixed-effect main evidence plus ML appendix checks","g185-method-line","Reads fixed-effect tables from the draft-bootstrap run"
"response surface v3","G185 workstream","g185-response-surface-v3","Low-degree drought-heat surface sensitivity analysis","g185-method-line","Different estimand from old-method IE-DE-TE"
"old method","G185 workstream","g185-old-method-corrected","Corrected linear two-equation IE-DE-TE analysis","g185-method-line","Use the corrected 2026-06-24 interpretation"
"IE/DE/TE","G185 old-method components","g185-old-method-corrected","Algebraic indirect, direct and total components","g185-component","Not identified causal mediation effects"
"irrigation boundary","G185 workstream","g185-region-irrigation-boundary","Region-specific continuous irrigation triple-interaction margins","g185-method-line","Separate estimand from IE-DE-TE"
