"canonical_id","display_name","namespace","version_kind","date_start","date_updated","first_evidence_date","result_run_date","interpretation_updated_at","status","current_truth_role","lineage_confidence","parent_id","supersedes_ids","context_ids","main_change","data_change","method_change","result_presentation_change","current_use","evidence_visibility","public_evidence_paths","notes"
"data-v2","V2 climate pipeline","data","logical_data_version","2026-03-29","2026-04-04","2026-03-29","","","historical","historical_data_family","three-source-confirmed","data-v1-locked-panel","","","Built multi-window and multi-source climate inputs; SPEI extraction was corrected on 2026-04-04","从V1 locked panel扩展多物候窗口、多气候源和SM变量；2026-04-04修正SPEI endpoint提取；逻辑版本包含两个不同schema快照","Python数据管线执行窗口计算、合并和质量检查；不涉及结果估计；修正改变D/W exposure输入而非回归器形式","载体为CHANGELOG和VARIABLES_v2.md；两个data_v2_main物理快照均已缺失；保留逻辑谱系","Historical data family","public","repo://data_build/docs/CHANGELOG.md|repo://data_build/docs/VARIABLES_v2.md","The two same-path data_v2_main snapshots are represented separately"
"data-v2-main-pre-spei-fix","V2 main pre-SPEI-fix snapshot","data","missing_physical_snapshot","2026-03-29","2026-04-02","2026-03-29","","","missing_snapshot","historical_missing_input","missing-snapshot","data-v2","","","Produced the 69038-row and 523-column V2 main panel used by analysis-v2","69038行、523列；使用修正前window SPEI提取；曾位于data_build/data/processed/data_v2_main.dta；当前缺失","数据构建方法为V2初始多窗口管线；无估计、FE、cluster或bootstrap；其D/W变量输入后来被纠正","无可发布数据载体；仅由v2_step0头部和CHANGELOG留痕；状态为missing-snapshot且不得用后版替代","Unavailable historical input snapshot","public","repo://scripts/stata/v2_step0_preamble.do|repo://data_build/docs/CHANGELOG.md","The former local data_build/data/processed/data_v2_main.dta is missing and cannot be substituted by a later file"
"data-v2-main-post-spei-fix","V2 main post-SPEI-fix snapshot","data","missing_physical_snapshot","2026-04-04","","2026-04-04","","","missing_snapshot","historical_missing_input","missing-snapshot","data-v2","data-v2-main-pre-spei-fix","","Corrected endpoint SPEI extraction and expanded the panel to 621 columns for the V3 systematic rerun","69038行、621列；相对pre-fix纠正SPEI endpoint并增加V3pre30等字段；沿用同一历史文件名；当前缺失","数据管线修正SPEI窗口提取并扩展字段；不涉及回归估计；成为analysis-v3上游输入","无现存物理快照；由v3_step0头部和CHANGELOG重建；状态为missing-snapshot","Unavailable corrected historical input snapshot","public","repo://scripts/stata/v3_step0_preamble.do|repo://data_build/docs/CHANGELOG.md","The same historical path named data_v2_main.dta referred to a structurally different file"
"data-v2-analysis-ready","V2 analysis-ready panel","data","physical_data_snapshot","2026-04-02","","2026-04-02","","","historical","historical_analysis_input","three-source-confirmed","data-v2-main-pre-spei-fix","","analysis-v2","Constructed drought and wetness windows, interactions, controls and a locked V2 analysis sample","从523列pre-fix快照生成本地v2_analysis_ready.dta；构造五窗口D/W、SR交互、SM交互和locked sample","Stata xtset grid_id year；基准FE样本由回归e(sample)锁定；后续模型使用grid/year FE与grid聚类；seed 42","载体为local DTA和V2结果表；可复核下游但无法完整重建缺失的上游快照；历史输入","Reproducible evidence for analysis-v2 conditional on the missing upstream snapshot","mixed","repo://scripts/stata/v2_step0_preamble.do|local://data/processed/v2_analysis_ready.dta","The physical output exists locally"
"analysis-v2","V2 systematic analysis","analysis","analysis_version","2026-04-02","","2026-04-02","2026-04-02","","superseded","historical_diagnostic","three-source-confirmed","","","data-v2-analysis-ready","Ran about 190 regressions and found unstable SR by D and mixed cross-source SM evidence","输入为pre-SPEI-fix的v2_analysis_ready；样本由V2 preamble定义；没有获得2026-04-04修正","约190个FE规格覆盖窗口、SM来源、stage和interaction grid；主要吸收grid/year并按grid聚类；seed 42","载体为2026-04-02本地结果summary及表格；结论为SR×D不稳定和跨源SM混合；被analysis-v3取代","Historical diagnostic","local","local://quality_reports/2026-04-02_v2_full_results_summary.md","Predates the SPEI correction"
"analysis-v3","V3 corrected systematic analysis","analysis","analysis_version","2026-04-04","","2026-04-04","2026-04-04","","historical","historical_foundation","three-source-confirmed","analysis-v2","analysis-v2","data-v2-main-post-spei-fix","Reran the systematic specifications after the SPEI correction and added period and bootstrap updates","使用621列post-SPEI-fix快照构建v3_analysis_ready；加入V3pre30并统一修正后的SPEI endpoint；基础N仍为69038","在analysis-v2规格族上重跑baseline、stage、SM comparison、mediation和robustness；grid/year FE、grid cluster、seed 42","产出为local V3 DTA、表格和handoff；明确与report-v3及data-v3-expanded分离；作为后续模块历史基础","Historical foundation","mixed","repo://scripts/stata/v3_step0_preamble.do|repo://quality_reports/handoffs/2026-04-15_v3_task_handoff.md|local://data/processed/v3_analysis_ready.dta","Distinct from report-v3 and data-v3-expanded"
data-v3-expanded,V3 expanded panel family,data,logical_data_version,2026-04-07,2026-04-23,2026-04-07,2026-04-23,,current_data_base,current_shared_data,three-source-confirmed,data-v2,,analysis-v3,Added capped GDD; retained and expanded multi-source soil-moisture-threshold hot-dry; separately added precipitation-threshold hot-dry; stabilized Stata aliases,在V2已有GLEAM root-zone SM阈值hot-dry基础上，保留并扩展GLEAM、SWSM、ERA5-Land多源多深度SM阈值hot-dry；另行新增以pr_lt1定义的precipitation hot-dry；同时增加capped GDD、dry/wet state和稳定Stata aliases；生成phenowindows/main/no-yield三视图,run_all.py串联窗口计算、合并、质量检查和导出；panel键为grid_id/year；不改变回归estimand；构建脚本采用确定性处理,公开V3 expanded说明和运行manifest，列出三个物理视图的SHA、行列数和schema；物理CSV/Parquet/DTA保持local；两类hot-dry分开呈现,Current shared climate and state data family,public,repo://docs/results/data-v3-expanded/report.md|repo://docs/results/data-v3-expanded/run-manifest.md|repo://data_build/docs/VARIABLES_v3.md|repo://quality_reports/plans/2026-04-07_data_build_v3_capped_gdd_plan.md|repo://data_build/scripts/python/run_all.py,Physical views remain local and untracked
"data-v3-phenowindows","V3 phenology-window full view","data","physical_data_snapshot","2026-04-23","","2026-04-23","","","reference","current_data_component","three-source-confirmed","data-v3-expanded","","","Preserved the full phenology-window table before export filtering","保存完整物候窗口宽表；相对父级逻辑版本是全字段物理序列化；local Parquet、CSV、DTA同源","由s08_merge_panel合并各窗口sidecar；按grid_id/year校验；不涉及估计方法","载体为local大文件及构建脚本；作为data-v3-main和no-yield导出的上游组件；非独立逻辑版本","Local source for the V3 main and no-yield exports","mixed","repo://data_build/scripts/python/s08_merge_panel.py|local://data_build/data/processed/data_v3_phenowindows.parquet","Not an independent logical data version"
data-v3-main,V3 expanded main view,data,physical_data_snapshot,2026-04-23,,2026-04-23,,,reference,current_data_component,three-source-confirmed,data-v3-expanded,,data-v3-phenowindows,Exported the analysis main view including yield fields,从phenowindows导出保留yield字段的主视图；V1-family结果变量明确为yield_tons_ha=maize_prod/maize_area_km2*10；用于V3模块,s10_export执行字段筛选、别名和序列化；不涉及estimand、FE、cluster或bootstrap,载体为local CSV/Parquet/DTA；Git仅记录构建脚本和字典；当前模块级数据组件,Primary V3 module input,mixed,repo://data_build/scripts/python/s10_export.py|local://data_build/data/processed/data_v3_main.parquet,V1-family yield_tons_ha uses maize_prod/maize_area_km2*10 and must not be conflated with the GGCP10 definition that changes the area denominator
"data-v3-no-yield","V3 expanded no-yield view","data","physical_data_snapshot","2026-04-23","","2026-04-23","","","reference","current_data_component","three-source-confirmed","data-v3-expanded","","data-v3-phenowindows|data-v3-main","Exported the yield-missing row partition while retaining the full schema","从phenowindows按yield_tons_ha缺失筛出53495行；保留全部1679列，yield字段仍存在但在该视图中全缺失；与main的69038行构成按yield是否缺失划分的行分区","s10_export分别以yield_tons_ha.notna()和isna()确定main与no-yield行分区并序列化；不删除字段且不运行产量模型","载体为local Parquet；不作为yield结果证据；仅登记为yield缺失行的数据共享组件","Yield-missing row partition for non-outcome data reuse","mixed","repo://data_build/scripts/python/s10_export.py|local://data_build/data/processed/data_v3_noyield.parquet","Not an estimation input for yield models; no-yield means yield-missing rows, not removed columns"
"analysis-v3-modules","V3 analysis module family","analysis","analysis_family","2026-04-07","2026-04-20","2026-04-07","","","historical","historical_module_family","three-source-confirmed","analysis-v3","","data-v3-expanded","Added precipitation hot-dry, multi-source SM outcomes, algebraic decomposition, sample boundaries and b-path audit","共同依赖analysis-v3-ready或data-v3-main；各模块另建analysis-ready DTA且main_sample定义不完全一致","容纳HotDryPr、六SM outcome、两方程分解、subsample、proxy和b-path审计；通常grid/year FE、grid cluster、seed 42","由handoff、计划、脚本和多份local报告组成；这是模块家族而非单一结果版","Container for completed historical modules","public","repo://quality_reports/handoffs/2026-04-15_v3_task_handoff.md|repo://scripts/stata/v3bpath_run_all.do","A module family rather than one replacement version"
"analysis-v3prhd","V3 precipitation hot-dry yield module","analysis","analysis_component","2026-04-07","","2026-04-07","2026-04-07","","historical","historical_module","three-source-confirmed","analysis-v3-modules","","data-v3-main","Defined HotDryPr as temperature at least 32 C with daily precipitation below 1 mm and estimated yield interactions across six windows","输入data-v3-main；构造六窗口D、H和HotDryPr；HotDryPr定义为Tmax≥32C且日降水<1mm；生成模块sample","以ln_yield为outcome估计SR×D、SR×H、D×H、SR×D×H及SR×HotDryPr；grid/year FE、grid cluster、seed 42","产出v3prhd表、图和beamer多轮排版；主报告入口由handoff指定；属于历史模块","Historical precipitation hot-dry module","mixed","repo://scripts/stata/v3prhd_step0_preamble.do|repo://quality_reports/plans/2026-04-07_v3prhd_fourcuts_report_plan.md|local://data/processed/v3prhd_analysis_ready.dta","Precipitation-defined HotDryPr is not the older low-soil-moisture hot-dry variable"
"analysis-v3prhdsm","V3 precipitation hot-dry soil-moisture module","analysis","analysis_component","2026-04-07","","2026-04-07","2026-04-07","","historical","historical_module","three-source-confirmed","analysis-v3-modules","","analysis-v3prhd|data-v3-main","Changed outcomes to six soil-moisture source and depth measures under matching interaction structures","复用data-v3-main及相同降水HotDryPr；outcome改为GLEAM、SWSM和ERA5-Land六个SM source-depth变量；单独定义main_sample","对六个SM outcome运行匹配的交互结构；grid/year FE、grid cluster、seed 42；用于跨源方向核对","产出六源SM表、图和spec234报告；结果呈现与yield模块分开；历史SM响应模块","Historical SM response module","mixed","repo://scripts/stata/v3prhdsm_step0_preamble.do|repo://quality_reports/plans/2026-04-07_v3prhdsm_report_plan.md|local://data/processed/v3prhdsm_analysis_ready.dta","The main_sample rule differs from other V3 modules"
"analysis-v3decomp","V3 FE decomposition module","analysis","analysis_component","2026-04-09","","2026-04-09","2026-04-09","","historical","historical_module","three-source-confirmed","analysis-v3-modules","","analysis-v3","Built common-sample two-equation direct and SM-associated algebraic components","输入v3_analysis_ready；以gleam_sms_mean为主mediator；创建严格common sample及SM×D、SM×H变量","两方程FE代数分解direct和SM-associated components；grid/year FE、grid cluster、seed 42；不是因果中介","产出profile constants、方程表、bootstrap表和beamer；后续统一采用代数组件措辞","Historical decomposition module","mixed","repo://scripts/stata/v3decomp_step0_profiles.do|repo://quality_reports/plans/2026-04-09_v3_decomposition_equation_plan.md|local://data/processed/v3decomp_analysis_ready.dta","Components are not identified causal mediation effects"
"analysis-v3sub","V3 sample-boundary module","analysis","analysis_component","2026-04-09","","2026-04-09","2026-04-09","","historical","historical_module","three-source-confirmed","analysis-v3-modules","","analysis-v3","Reran structures by irrigation group and maize region after removing W from selected specifications","输入v3_analysis_ready；新增NE/HHH/SW/NW/SH/Other maize_zone和irr_group；按边界形成子样本","按灌溉与玉米区重跑三结构和窗口模型；部分规格移除W；grid/year FE、grid cluster、seed 42","产出subsample表和综合beamer；用于边界诊断；不把子样本结果定义为新主样本","Historical sample-boundary module","mixed","repo://scripts/stata/v3sub_run_all.do|repo://quality_reports/plans/2026-04-09_v3sub_subsample_rerun_plan.md|local://data/processed/v3sub_analysis_ready.dta","Subsample-specific results do not redefine the global main_sample"
"analysis-v3med-model8","V3 moderated two-equation Model 8","analysis","analysis_component","2026-04-16","","2026-04-16","2026-04-16","","historical","historical_module","three-source-confirmed","analysis-v3-modules","","analysis-v3decomp","Estimated drought and heat mediator and yield equations across six SM measures and conditional SR levels","输入v3med common sample；覆盖六个SM source-depth mediator及drought/heat模块；样本与其他V3模块不同","Model 8包含mediator方程SM~hazard+SR+SR×hazard和yield方程lnY~hazard+SR+SR×hazard+SM；grid/year FE、grid cluster、seed 42","产出coefficients、conditional effects、bootstrap和heterogeneity表；历史中介叙事已改为非因果两方程组件","Historical Model 8 module","mixed","repo://scripts/stata/v3med_step2_drought_model8.do|repo://scripts/stata/v3med_step3_heat_model8.do|local://data/processed/v3med_analysis_ready.dta","The historical mediation wording is superseded by algebraic and associational language"
"analysis-v3proxy","V3 drought-proxy competition module","analysis","analysis_component","2026-04-16","","2026-04-16","2026-04-16","","historical","historical_module","three-source-confirmed","analysis-v3-modules","","analysis-v3med-model8","Compared drought proxies, HotDryPr inclusion, cut definitions, controls and six SM measures","输入v3proxy common sample；加入两类drought proxy、三种cut、HotDryPr开关及六SM来源","运行2 proxy×2 HDP×3 cuts×2 controls×6 SM的factorial FE比较并做competition checks；grid/year FE、grid cluster、seed 42","产出long-format系数表和审计报告；用于说明proxy选择敏感性；非主结果","Historical proxy audit","mixed","repo://scripts/stata/v3proxy_step1_modelsets.do|repo://quality_reports/plans/2026-04-16_v3proxy_analysis_report_plan.md|local://data/processed/v3proxy_analysis_ready.dta","A diagnostic module and not a new data version"
"analysis-v3bpath","V3 b-path audit module","analysis","analysis_component","2026-04-20","","2026-04-20","2026-04-20","","historical","historical_module","three-source-confirmed","analysis-v3-modules","","analysis-v3med-model8|analysis-v3proxy","Audited timing alignment, controls, wet-side terms, nonlinearity, proxy competition, source depth and heat consistency","输入v3bpath unified stage sample；对齐各窗口的六个SM变量并保留wet control、heat和D×SR","依次审计timing、control ladder、wet control、nonlinear、proxy competition、source depth和heat consistency；grid/year FE、grid cluster、seed 42","产出八类审计CSV和2026-04-20汇总；重点呈现不一致和限制；不支持因果b-path","Historical b-path audit","mixed","repo://scripts/stata/v3bpath_run_all.do|local://quality_reports/2026-04-20_v3bpath_audit_results.md|local://data/processed/v3bpath_analysis_ready.dta","The audit constrains claims rather than establishing a causal b-path"
"mechanism-v4smstate","V4 SM-state experiment","mechanism","mechanism_experiment","2026-04-21","","2026-04-21","2026-04-21","","exploratory","exploratory_mechanism","three-source-confirmed","analysis-v3-modules","","analysis-v3bpath","Compared raw SM with pooled-local and maize-zone dry or wet state variables","基于V3数据构建raw SM、pooled-local及maize-zone dry/wet state sidecar；六SM源和多个窗口使用common sample","比较raw-vs-state outcome方程及state mediator方程；grid/year FE、grid cluster、seed 42；相对V3 b-path改用状态阈值变量","产出state model CSV、分布图和audit计划；保持exploratory；不是report-v4","Exploratory state-variable family","public","repo://quality_reports/plans/2026-04-21_sm_state_audit_plan.md|repo://scripts/stata/v4smstate_run_all.do","Not report-v4 and not a strict successor node"
"mechanism-v5drymed","V5 drought-only dry-mediator experiment","mechanism","mechanism_experiment","2026-04-22","","2026-04-22","2026-04-22","","exploratory","exploratory_mechanism","three-source-confirmed","analysis-v3-modules","","mechanism-v4smstate","Tested drydays, dryshare and drydeficit families under baseline-local, pooled-state and maize-zone thresholds","合并v3_analysis_ready、v3sub、SM-state sidecar和data-v3-main；构造drydays、dryshare、drydeficit及多阈值sample tags","drought-only Model 8；mediator和yield两方程；baseline-local、pooled-state、maize-zone阈值；grid/year FE、grid cluster、seed 42","产出coefficients、conditional effects、bootstrap和heterogeneity摘要；探索范围后被收窄；不是report-v5","Exploratory drought-only family","mixed","repo://quality_reports/plans/2026-04-22_v5drymed_drought_only_plan.md|repo://scripts/stata/v5drymed_run_all.do|local://data/processed/v5drymed_analysis_ready.dta","Not report-v5 and not a strict successor to mechanism-v4smstate"
"mechanism-v6gleambl","V6 GLEAM baseline-local experiment","mechanism","mechanism_experiment","2026-04-23","","2026-04-23","2026-04-23","","historical","historical_mechanism_precursor","three-source-confirmed","analysis-v3-modules","","mechanism-v4smstate|mechanism-v5drymed","Added four-window GLEAM surface and root-zone dry or wet mediator families plus heat and hot-dry variants","在V3与state sidecar上使用GLEAM surface/root-zone、四窗口、dry/wet配对mediator；相对v5减少到GLEAM重点来源","四窗口Model 8并扩展heat/hot-dry control variants；grid/year FE、grid cluster、seed 42；baseline-local阈值为主体","产出local baseline、bootstrap、full-family表和图；成为GGCP10 baseline suite前身；不是report-v6.1","Historical precursor to the GGCP10 suite","public","repo://quality_reports/plans/2026-04-23_v6gleambl_fourwindow_plan.md|repo://quality_reports/plans/2026-04-23_v6gleambl_heat_hotdry_plan.md|repo://scripts/stata/v6gleambl_run_all.do","Not report-v6.1 and not a strict successor chain"
"area-ggcp10-harvarea","GGCP10 harvested-area branch family","area","area_family","2026-05-18","","2026-05-18","","","historical","historical_area_family","three-source-confirmed","data-v3-expanded","","mechanism-v6gleambl","Replaced area-related variables with GGCP10 harvested area while retaining original maize_frac","引入2016-2019 GGCP10 maize harvested-area rasters；保持原maize_frac供比较；形成point与aggregated两条物理分支","数据构建家族同时记录coordinate point sample和area-preserving aggregation；不涉及回归estimand","公开分支文档；具体数据产物保持local；作为area命名空间父节点","Container for point-sample and aggregated branches","public","repo://docs/GGCP10_HARVAREA_BRANCH.md","The two physical area constructions are separate components"
"area-ggcp10-point-sample","GGCP10 point-sampled area panel","area","area_component","2026-05-18","","2026-05-18","2026-05-18","","historical","historical_area_component","three-source-confirmed","area-ggcp10-harvarea","","data-v3-expanded","Sampled native GGCP10 harvested area at panel grid coordinates","把native GGCP10栅格在0.1度panel中心点取值并并入V3；相对父级选择point sampling；保留V1 outcome口径用于比较","Python按坐标读取栅格值并合并grid/year；无FE、cluster或bootstrap；该构造不保面积总量","产出local point-sample V3/V6 DTA和诊断；仅作历史对照；未选为当前面积基础","Historical point-sample comparison branch","mixed","repo://scripts/python/ggcp10_build_harvarea_branch.py|local://temp/2026-05-18_ggcp10_harvarea_v6gleambl/v3_analysis_ready_ggcp10_harvarea.dta","Not equivalent to area-preserving aggregation"
area-ggcp10-aggregated,GGCP10 aggregated 0.1-degree area panel,area,area_component,2026-05-18,,2026-05-18,2026-05-18,,current_data_base,current_ggcp10_area_data,three-source-confirmed,area-ggcp10-harvarea,,area-ggcp10-point-sample|data-v3-expanded,Area-preserving aggregation from the native raster grid to the 0.1-degree panel and recomputed area-weighted yield,将native 1/12度GGCP10 raster按面积守恒聚合到0.1度grid；结果变量明确重算为yield_tons_ha=maize_prod/ggcp10_maize_area_km2*10；分子仍为maize_prod，变化的是相对V1的面积分母,按经纬边界重叠权重执行area-preserving aggregation并合并grid/year；无回归推断；构建过程含面积守恒诊断,公开数据版本说明和运行manifest，登记aggregated sidecar、V3 base、环境缺口及结构校验；二进制数据不上传,Current GGCP10 area base,mixed,repo://docs/results/area-ggcp10-aggregated/report.md|repo://docs/results/area-ggcp10-aggregated/run-manifest.md|repo://docs/GGCP10_HARVAREA_BRANCH.md|repo://scripts/python/ggcp10_build_harvarea_agg_branch.py|local://temp/2026-05-18_ggcp10_harvarea_agg_baseline_suite/v3_analysis_ready_ggcp10_harvarea_agg.dta,GGCP10 yield_tons_ha uses maize_prod/ggcp10_maize_area_km2*10; V1 uses maize_prod/maize_area_km2*10
"analysis-ggcp10-baseline-suite","GGCP10 aggregated baseline suite","analysis","analysis_component","2026-05-18","","2026-05-18","2026-05-18","","historical","historical_ggcp10_baseline","three-source-confirmed","area-ggcp10-aggregated","","mechanism-v6gleambl","Ran paired mediator and yield equations for drought, heat and precipitation hot-dry using raw, dry-state and wet-state SM mediators","输入GGCP10 aggregated base和data-v3-main HotDryPr；使用raw SM、dry-state、wet-state mediator；按各模型形成sample tag","对drought、heat、precipitation hot-dry分别估计mediator和ln_yield方程；grid/year FE、grid cluster、seed 42；不等同于因果中介","产出local baseline coefficient suite和analysis-ready DTA；作为后续extension与scale search基础；无独立公开主结论","Input foundation for later GGCP10 scale work","mixed","repo://scripts/stata/ggcp10_baseline_suite_run_all.do|local://temp/2026-05-18_ggcp10_harvarea_agg_baseline_suite/ggcp10_baseline_suite_analysis_ready.dta","SM-defined and precipitation-defined hot-dry variables remain distinct"
"ggcp10-mediation-ext","GGCP10 two-equation extensions","analysis","analysis_family","2026-05-19","2026-06-02","2026-05-19","2026-05-19","","exploratory","exploratory_ggcp10_family","three-source-confirmed","analysis-ggcp10-baseline-suite","","analysis-v3-modules","Created SM mean, wet-state mirror and dry-state top-3 branches with baseline, bootstrap and heterogeneity outputs","基于aggregated baseline suite分成SM mean、wet mirror、dry top3；GLEAM-only；各分支有独立sample与表数","两方程baseline、bootstrap和region/irrigation heterogeneity；grid/year FE与grid cluster；原mean分支bootstrap 80 reps，seed 42","产出三分支CSV、21/12/21组图及handoff；属于exploratory family；不写成identified causal mediation","Completed exploratory family","mixed","repo://docs/GGCP10_MEDIATION_EXTENSIONS.md|repo://quality_reports/handoffs/2026-06-02_ggcp10_mediation_extensions_handoff.md|repo://scripts/stata/ggcp10_mean_ext_run_all.do","Two-equation components are not identified causal mediation"
